#[ 全船船体网格数 ]
 4287
    51.00000     4.87716     3.86866    51.00000     5.04968     4.56960    50.25000     5.05033     4.56954    50.25000     4.87991     3.86801
    51.00000     5.04968     4.56960    51.00000     5.16646     5.28207    50.25000     5.16735     5.28202    50.25000     5.05033     4.56954
    51.00000     5.16646     5.28207    51.00000     5.24061     6.00029    50.25000     5.24154     6.00029    50.25000     5.16735     5.28202
    50.25000     0.00014     0.07096    50.25000     0.67063     0.32522    49.50000     0.67352     0.34192    49.50000     0.00014     0.09451
    50.25000     0.67063     0.32522    50.25000     1.33427     0.60841    49.50000     1.34055     0.61715    49.50000     0.67352     0.34192
    50.25000     1.33427     0.60841    50.25000     1.99664     0.89521    49.50000     2.00554     0.89795    49.50000     1.34055     0.61715
    50.25000     1.99664     0.89521    50.25000     2.65136     1.19950    49.50000     2.66193     1.19873    49.50000     2.00554     0.89795
    50.25000     2.65136     1.19950    50.25000     3.28226     1.55017    49.50000     3.29433     1.54681    49.50000     2.66193     1.19873
    50.25000     3.28226     1.55017    50.25000     3.85506     1.98802    49.50000     3.86917     1.98202    49.50000     3.29433     1.54681
    50.25000     3.85506     1.98802    50.25000     4.31006     2.54668    49.50000     4.32291     2.54161    49.50000     3.86917     1.98202
    50.25000     4.31006     2.54668    50.25000     4.64222     3.18673    49.50000     4.65012     3.18424    49.50000     4.32291     2.54161
    50.25000     4.64222     3.18673    50.25000     4.87991     3.86801    49.50000     4.88266     3.86736    49.50000     4.65012     3.18424
    50.25000     4.87991     3.86801    50.25000     5.05033     4.56954    49.50000     5.05098     4.56948    49.50000     4.88266     3.86736
    50.25000     5.05033     4.56954    50.25000     5.16735     5.28202    49.50000     5.16823     5.28197    49.50000     5.05098     4.56948
    50.25000     5.16735     5.28202    50.25000     5.24154     6.00029    49.50000     5.24246     6.00029    49.50000     5.16823     5.28197
    49.50000     0.00014     0.09451    49.50000     0.67352     0.34192    48.75000     0.67640     0.35862    48.75000     0.00014     0.11807
    49.50000     0.67352     0.34192    49.50000     1.34055     0.61715    48.75000     1.34684     0.62589    48.75000     0.67640     0.35862
    49.50000     1.34055     0.61715    49.50000     2.00554     0.89795    48.75000     2.01444     0.90069    48.75000     1.34684     0.62589
    49.50000     2.00554     0.89795    49.50000     2.66193     1.19873    48.75000     2.67250     1.19796    48.75000     2.01444     0.90069
    49.50000     2.66193     1.19873    49.50000     3.29433     1.54681    48.75000     3.30640     1.54345    48.75000     2.67250     1.19796
    49.50000     3.29433     1.54681    49.50000     3.86917     1.98202    48.75000     3.88327     1.97602    48.75000     3.30640     1.54345
